zone_id,week_start,risk_score_0_100,risk_bin,scored_utc
zone_18,2025-08-16,83.40802,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-08-23,79.61116,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-08-30,86.21481,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-09-06,72.93729,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-09-13,87.47516,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-09-20,87.22617,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-09-27,73.76013,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-10-04,78.83262,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-10-11,84.912704,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-10-18,89.20339,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-10-25,98.03743,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-11-01,82.5021,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-11-08,98.04342,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-11-15,95.02139,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-11-22,94.39142,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-11-29,95.82589,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-12-06,98.24465,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-12-13,97.97402,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-12-20,98.12153,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-12-27,98.09,high,2026-04-25T20:02:39.788341+00:00
zone_18,2026-01-03,97.99293,high,2026-04-25T20:02:39.788341+00:00
zone_18,2026-01-10,98.05209,high,2026-04-25T20:02:39.788341+00:00
zone_18,2026-01-17,97.947365,high,2026-04-25T20:02:39.788341+00:00
zone_18,2026-01-24,98.13912,high,2026-04-25T20:02:39.788341+00:00
zone_18,2026-01-31,97.99807,high,2026-04-25T20:02:39.788341+00:00
zone_18,2026-02-07,97.99233,high,2026-04-25T20:02:39.788341+00:00
zone_18,2026-02-14,98.0314,high,2026-04-25T20:02:39.788341+00:00
zone_18,2026-02-21,98.00811,high,2026-04-25T20:02:39.788341+00:00
zone_18,2026-02-28,98.0152,high,2026-04-25T20:02:39.788341+00:00
zone_18,2026-03-07,97.674545,high,2026-04-25T20:02:39.788341+00:00
zone_18,2026-03-14,98.00551,high,2026-04-25T20:02:39.788341+00:00
zone_18,2026-03-21,98.01847,high,2026-04-25T20:02:39.788341+00:00
zone_18,2026-03-28,98.29287,high,2026-04-25T20:02:39.788341+00:00
zone_18,2026-04-04,97.997635,high,2026-04-25T20:02:39.788341+00:00
zone_18,2026-04-11,98.03377,high,2026-04-25T20:02:39.788341+00:00
zone_18,2026-04-18,97.9809,high,2026-04-25T20:02:39.788341+00:00
zone_19,2024-03-02,97.99431,high,2026-04-25T20:02:39.788341+00:00
zone_19,2024-03-09,97.946915,high,2026-04-25T20:02:39.788341+00:00
zone_19,2024-03-16,98.00041,high,2026-04-25T20:02:39.788341+00:00
zone_19,2024-03-23,98.03873,high,2026-04-25T20:02:39.788341+00:00
zone_19,2024-03-30,97.90505,high,2026-04-25T20:02:39.788341+00:00
zone_19,2024-04-06,98.04898,high,2026-04-25T20:02:39.788341+00:00
zone_19,2024-04-13,97.74435,high,2026-04-25T20:02:39.788341+00:00
